showRange,rank,movieNm
2019093020191006,8,원스 어폰 어 타임... 인 할리우드
2019093020191006,9,몬스터 하우스
2019093020191006,10,애드 아스트라
2019092320190929,1,장사리 : 잊혀진 영웅들
2019092320190929,2,나쁜 녀석들: 더 무비
2019092320190929,3,양자물리학
2019092320190929,4,원스 어폰 어 타임... 인 할리우드
2019092320190929,5,애드 아스트라
2019092320190929,6,타짜: 원 아이드 잭
2019092320190929,7,예스터데이
2019092320190929,8,퍼펙트맨
2019092320190929,9,"힘을 내요, 미스터 리"
2019092320190929,10,더 룸
2019091620190922,1,나쁜 녀석들: 더 무비
2019091620190922,2,타짜: 원 아이드 잭
2019091620190922,3,애드 아스트라
2019091620190922,4,"힘을 내요, 미스터 리"
2019091620190922,5,예스터데이
2019091620190922,6,극장판 헬로카봇 : 달나라를 구해줘!
2019091620190922,7,퍼펙트맨
2019091620190922,8,그것: 두 번째 이야기
2019091620190922,9,엑시트
2019091620190922,10,벌새
2019090920190915,1,나쁜 녀석들: 더 무비
2019090920190915,2,타짜: 원 아이드 잭
2019090920190915,3,"힘을 내요, 미스터 리"
2019090920190915,4,극장판 헬로카봇 : 달나라를 구해줘!
2019090920190915,5,엑시트
2019090920190915,6,그것: 두 번째 이야기
2019090920190915,7,유열의 음악앨범
2019090920190915,8,극장판 반지의 비밀일기
2019090920190915,9,분노의 질주: 홉스&쇼
2019090920190915,10,변신
2019090220190908,1,유열의 음악앨범
2019090220190908,2,그것: 두 번째 이야기
2019090220190908,3,극장판 헬로카봇 : 달나라를 구해줘!
2019090220190908,4,엑시트
2019090220190908,5,변신
2019090220190908,6,분노의 질주: 홉스&쇼
2019090220190908,7,47미터 2
2019090220190908,8,봉오동 전투
2019090220190908,9,안녕 베일리
2019090220190908,10,광대들: 풍문조작단
2019082620190901,1,변신
2019082620190901,2,유열의 음악앨범
2019082620190901,3,엑시트
2019082620190901,4,분노의 질주: 홉스&쇼
2019082620190901,5,47미터 2
2019082620190901,6,봉오동 전투
2019082620190901,7,광대들: 풍문조작단
2019082620190901,8,안나
2019082620190901,9,커런트 워
2019082620190901,10,레드슈즈
2019081920190825,1,분노의 질주: 홉스&쇼
2019081920190825,2,엑시트
2019081920190825,3,변신
2019081920190825,4,봉오동 전투
2019081920190825,5,광대들: 풍문조작단
2019081920190825,6,커런트 워
2019081920190825,7,"안녕, 티라노: 영원히, 함께"
2019081920190825,8,마이펫의 이중생활 2
2019081920190825,9,애프터
2019081920190825,10,레드슈즈
2019081220190818,1,분노의 질주: 홉스&쇼
2019081220190818,2,봉오동 전투
2019081220190818,3,엑시트
2019081220190818,4,"안녕, 티라노: 영원히, 함께"
2019081220190818,5,마이펫의 이중생활 2
2019081220190818,6,암전
2019081220190818,7,사자
2019081220190818,8,원더랜드
2019081220190818,9,레드슈즈
2019081220190818,10,알라딘
2019080520190811,1,엑시트
2019080520190811,2,봉오동 전투
2019080520190811,3,사자
2019080520190811,4,마이펫의 이중생활 2
2019080520190811,5,브링 더 소울 : 더 무비
2019080520190811,6,알라딘
2019080520190811,7,라이온 킹
2019080520190811,8,레드슈즈
2019080520190811,9,앵그리 버드 2: 독수리 왕국의 침공
2019080520190811,10,김복동
2019072920190804,1,엑시트
2019072920190804,2,사자
2019072920190804,3,라이온 킹
2019072920190804,4,마이펫의 이중생활 2
2019072920190804,5,알라딘
2019072920190804,6,레드슈즈
2019072920190804,7,나랏말싸미
2019072920190804,8,스파이더맨: 파 프롬 홈
2019072920190804,9,명탐정 코난: 감청의 권
2019072920190804,10,롱 샷
2019072220190728,1,라이온 킹
2019072220190728,2,나랏말싸미
2019072220190728,3,알라딘
2019072220190728,4,스파이더맨: 파 프롬 홈
2019072220190728,5,레드슈즈
2019072220190728,6,명탐정 코난: 감청의 권
2019072220190728,7,롱 샷
2019072220190728,8,토이 스토리 4
2019072220190728,9,기생충
2019072220190728,10,사자
2019071520190721,1,라이온 킹
2019071520190721,2,스파이더맨: 파 프롬 홈
2019071520190721,3,알라딘
2019071520190721,4,토이 스토리 4
2019071520190721,5,기생충
2019071520190721,6,기방도령
2019071520190721,7,진범
2019071520190721,8,사일런스
2019071520190721,9,극장판 엉덩이 탐정: 화려한 사건 수첩
2019071520190721,10,미드소마
2019070820190714,1,스파이더맨: 파 프롬 홈
2019070820190714,2,알라딘
2019070820190714,3,토이 스토리 4
2019070820190714,4,기방도령
2019070820190714,5,기생충
2019070820190714,6,진범
2019070820190714,7,극장판 엉덩이 탐정: 화려한 사건 수첩
2019070820190714,8,애나벨 집으로
2019070820190714,9,존 윅 3: 파라벨룸
2019070820190714,10,미드소마
2019070120190707,1,스파이더맨: 파 프롬 홈
2019070120190707,2,알라딘
2019070120190707,3,토이 스토리 4
2019070120190707,4,기생충
2019070120190707,5,존 윅 3: 파라벨룸
2019070120190707,6,애나벨 집으로
2019070120190707,7,롱 리브 더 킹: 목포 영웅
2019070120190707,8,천로역정: 천국을 찾아서
2019070120190707,9,비스트
