showRange,rank,movieNm
2019111120191117,1,블랙머니
2019111120191117,2,신의 한 수: 귀수편
2019111120191117,3,82년생 김지영
2019111120191117,4,터미네이터: 다크 페이트
2019111120191117,5,엔젤 해즈 폴른
2019111120191117,6,아담스 패밀리
2019111120191117,7,좀비랜드: 더블 탭
2019111120191117,8,날씨의 아이
2019111120191117,9,윤희에게
2019111120191117,10,조커
2019110420191110,1,신의 한 수: 귀수편
2019110420191110,2,터미네이터: 다크 페이트
2019110420191110,3,82년생 김지영
2019110420191110,4,아담스 패밀리
2019110420191110,5,날씨의 아이
2019110420191110,6,말레피센트 2
2019110420191110,7,조커
2019110420191110,8,닥터 슬립
2019110420191110,9,가장 보통의 연애
2019110420191110,10,블랙머니
2019102820191103,1,82년생 김지영
2019102820191103,2,터미네이터: 다크 페이트
2019102820191103,3,날씨의 아이
2019102820191103,4,말레피센트 2
2019102820191103,5,조커
2019102820191103,6,가장 보통의 연애
2019102820191103,7,빅 위시
2019102820191103,8,람보 : 라스트 워
2019102820191103,9,블랙머니
2019102820191103,10,빅 2: 황금열쇠 대소동
2019102120191027,1,82년생 김지영
2019102120191027,2,말레피센트 2
2019102120191027,3,조커
2019102120191027,4,가장 보통의 연애
2019102120191027,5,람보 : 라스트 워
2019102120191027,6,퍼펙트맨
2019102120191027,7,두번할까요
2019102120191027,8,빅트립: 아기팬더 배달 대모험
2019102120191027,9,더 킹: 헨리 5세
2019102120191027,10,터미네이터2 3D
2019101420191020,1,조커
2019101420191020,2,말레피센트 2
2019101420191020,3,가장 보통의 연애
2019101420191020,4,퍼펙트맨
2019101420191020,5,두번할까요
2019101420191020,6,제미니 맨
2019101420191020,7,너를 만난 여름
2019101420191020,8,장사리 : 잊혀진 영웅들
2019101420191020,9,버티고
2019101420191020,10,날씨의 아이
2019100720191013,1,조커
2019100720191013,2,가장 보통의 연애
2019100720191013,3,퍼펙트맨
2019100720191013,4,제미니 맨
2019100720191013,5,장사리 : 잊혀진 영웅들
2019100720191013,6,몬스터 하우스
2019100720191013,7,소피와 드래곤: 마법책의 비밀
2019100720191013,8,잃어버린 세계를 찾아서
2019100720191013,9,판소리 복서
2019100720191013,10,원스 어폰 어 타임... 인 할리우드
2019093020191006,1,조커
2019093020191006,2,가장 보통의 연애
2019093020191006,3,퍼펙트맨
2019093020191006,4,장사리 : 잊혀진 영웅들
2019093020191006,5,양자물리학
2019093020191006,6,나쁜 녀석들: 더 무비
2019093020191006,7,소피와 드래곤: 마법책의 비밀
