showRange,movieNm,movieCd,rank,movieId
20190819~20190825,엑시트,20184621,2,40
20190819~20190825,변신,20184543,3,45
20190819~20190825,봉오동 전투,20184462,4,47
20190819~20190825,광대들: 풍문조작단,20185985,5,49
20190819~20190825,커런트 워,20171021,6,51
20190819~20190825,"안녕, 티라노: 영원히, 함께",20182241,7,53
20190819~20190825,마이펫의 이중생활 2,20183844,8,54
20190819~20190825,애프터,20191604,9,55
20190819~20190825,레드슈즈,20198323,10,52
20190812~20190818,분노의 질주: 홉스&쇼,20196850,1,44
20190812~20190818,봉오동 전투,20184462,2,47
20190812~20190818,엑시트,20184621,3,40
20190812~20190818,"안녕, 티라노: 영원히, 함께",20182241,4,53
20190812~20190818,마이펫의 이중생활 2,20183844,5,54
20190812~20190818,암전,20188404,6,56
20190812~20190818,사자,20180442,7,57
20190812~20190818,원더랜드,20187959,8,58
20190812~20190818,레드슈즈,20198323,9,52
20190812~20190818,알라딘,20183867,10,59
20190805~20190811,엑시트,20184621,1,40
20190805~20190811,봉오동 전투,20184462,2,47
20190805~20190811,사자,20180442,3,57
20190805~20190811,마이펫의 이중생활 2,20183844,4,54
20190805~20190811,브링 더 소울 : 더 무비,20193275,5,60
20190805~20190811,알라딘,20183867,6,59
20190805~20190811,라이온 킹,20175771,7,61
20190805~20190811,레드슈즈,20198323,8,52
20190805~20190811,앵그리 버드 2: 독수리 왕국의 침공,20191741,9,62
20190805~20190811,김복동,20190741,10,63
20190729~20190804,엑시트,20184621,1,40
20190729~20190804,사자,20180442,2,57
20190729~20190804,라이온 킹,20175771,3,61
20190729~20190804,마이펫의 이중생활 2,20183844,4,54
20190729~20190804,알라딘,20183867,5,59
20190729~20190804,레드슈즈,20198323,6,52
20190729~20190804,나랏말싸미,20182490,7,64
20190729~20190804,스파이더맨: 파 프롬 홈,20196309,8,65
20190729~20190804,명탐정 코난: 감청의 권,20192725,9,66
20190729~20190804,롱 샷,20190002,10,67
20190722~20190728,라이온 킹,20175771,1,61
20190722~20190728,나랏말싸미,20182490,2,64
20190722~20190728,알라딘,20183867,3,59
20190722~20190728,스파이더맨: 파 프롬 홈,20196309,4,65
20190722~20190728,레드슈즈,20198323,5,52
20190722~20190728,명탐정 코난: 감청의 권,20192725,6,66
20190722~20190728,롱 샷,20190002,7,67
20190722~20190728,토이 스토리 4,20184047,8,68
20190722~20190728,기생충,20183782,9,69
20190722~20190728,사자,20180442,10,57
20190715~20190721,라이온 킹,20175771,1,61
20190715~20190721,스파이더맨: 파 프롬 홈,20196309,2,65
20190715~20190721,알라딘,20183867,3,59
20190715~20190721,토이 스토리 4,20184047,4,68
20190715~20190721,기생충,20183782,5,69
20190715~20190721,기방도령,20185353,6,70
20190715~20190721,진범,20185986,7,71
20190715~20190721,사일런스,20192222,8,72
20190715~20190721,극장판 엉덩이 탐정: 화려한 사건 수첩,20191601,9,73
20190715~20190721,미드소마,20192151,10,74
20190708~20190714,스파이더맨: 파 프롬 홈,20196309,1,65
20190708~20190714,알라딘,20183867,2,59
20190708~20190714,토이 스토리 4,20184047,3,68
20190708~20190714,기방도령,20185353,4,70
20190708~20190714,기생충,20183782,5,69
20190708~20190714,진범,20185986,6,71
20190708~20190714,극장판 엉덩이 탐정: 화려한 사건 수첩,20191601,7,73
20190708~20190714,애나벨 집으로,20199951,8,75
20190708~20190714,존 윅 3: 파라벨룸,20196655,9,76
20190708~20190714,미드소마,20192151,10,74
20190701~20190707,스파이더맨: 파 프롬 홈,20196309,1,65
20190701~20190707,알라딘,20183867,2,59
20190701~20190707,토이 스토리 4,20184047,3,68
20190701~20190707,기생충,20183782,4,69
20190701~20190707,존 윅 3: 파라벨룸,20196655,5,76
20190701~20190707,애나벨 집으로,20199951,6,75
20190701~20190707,롱 리브 더 킹: 목포 영웅,20198453,7,77
20190701~20190707,천로역정: 천국을 찾아서,20190273,8,78
20190701~20190707,비스트,20182585,9,79
20190701~20190707,BIFAN2019 판타스틱 단편 걸작선 1,20192591,10,80
20190624~20190630,알라딘,20183867,1,59
20190624~20190630,토이 스토리 4,20184047,2,68
20190624~20190630,존 윅 3: 파라벨룸,20196655,3,76
20190624~20190630,기생충,20183782,4,69
20190624~20190630,롱 리브 더 킹: 목포 영웅,20198453,5,77
20190624~20190630,애나벨 집으로,20199951,6,75
20190624~20190630,비스트,20182585,7,79
20190624~20190630,천로역정: 천국을 찾아서,20190273,8,78
20190624~20190630,마담 싸이코,20192022,9,81
20190624~20190630,맨 인 블랙: 인터내셔널,20196657,10,82
20190617~20190623,알라딘,20183867,1,59
20190617~20190623,토이 스토리 4,20184047,2,68
20190617~20190623,기생충,20183782,3,69
20190617~20190623,롱 리브 더 킹: 목포 영웅,20198453,4,77
20190617~20190623,맨 인 블랙: 인터내셔널,20196657,5,82
20190617~20190623,존 윅 3: 파라벨룸,20196655,6,76
20190617~20190623,천로역정: 천국을 찾아서,20190273,7,78
20190617~20190623,사탄의 인형,20190885,8,83
20190617~20190623,엑스맨: 다크 피닉스,20182387,9,84
20190617~20190623,세상을 바꾼 변호인,20190466,10,85
20190610~20190616,알라딘,20183867,1,59
20190610~20190616,기생충,20183782,2,69
20190610~20190616,맨 인 블랙: 인터내셔널,20196657,3,82
20190610~20190616,엑스맨: 다크 피닉스,20182387,4,84
20190610~20190616,천로역정: 천국을 찾아서,20190273,5,78
20190610~20190616,이웃집 토토로,19880001,6,86
20190610~20190616,업사이드,20191401,7,87
20190610~20190616,로켓맨,20198291,8,88
20190610~20190616,세상을 바꾼 변호인,20190466,9,85
20190610~20190616,어벤져스: 엔드게임,20184889,10,89
20190603~20190609,기생충,20183782,1,69
20190603~20190609,알라딘,20183867,2,59
20190603~20190609,엑스맨: 다크 피닉스,20182387,3,84
20190603~20190609,이웃집 토토로,19880001,4,86
20190603~20190609,로켓맨,20198291,5,88
20190603~20190609,악인전,20188941,6,90
20190603~20190609,고질라: 킹 오브 몬스터,20184865,7,91
20190603~20190609,빅샤크2: 해저2만리,20199063,8,92
20190603~20190609,어벤져스: 엔드게임,20184889,9,89
20190603~20190609,0.0MHz,20188144,10,93
20190527~20190602,기생충,20183782,1,69
20190527~20190602,알라딘,20183867,2,59
20190527~20190602,악인전,20188941,3,90
20190527~20190602,고질라: 킹 오브 몬스터,20184865,4,91
20190527~20190602,0.0MHz,20188144,5,93
20190527~20190602,어벤져스: 엔드게임,20184889,6,89
20190527~20190602,걸캅스,20184082,7,94
20190527~20190602,어린 의뢰인,20199448,8,95
20190527~20190602,교회오빠,20198597,9,96
20190527~20190602,더 보이,20199822,10,97
20190520~20190526,악인전,20188941,1,90
20190520~20190526,알라딘,20183867,2,59
20190520~20190526,걸캅스,20184082,3,94
20190520~20190526,어벤져스: 엔드게임,20184889,4,89
20190520~20190526,어린 의뢰인,20199448,5,95
20190520~20190526,배심원들,20187981,6,98
20190520~20190526,더 보이,20199822,7,97
20190520~20190526,명탐정 피카츄,20198598,8,99
20190520~20190526,나의 특별한 형제,20185784,9,100
20190520~20190526,교회오빠,20198597,10,96
20190513~20190519,악인전,20188941,1,90
20190513~20190519,어벤져스: 엔드게임,20184889,2,89
20190513~20190519,걸캅스,20184082,3,94
20190513~20190519,명탐정 피카츄,20198598,4,99
20190513~20190519,배심원들,20187981,5,98
20190513~20190519,나의 특별한 형제,20185784,6,100
20190513~20190519,뽀로로 극장판 보물섬 대모험,20198183,7,101
20190513~20190519,호텔 뭄바이,20185384,8,102
20190513~20190519,교회오빠,20198597,9,96
20190513~20190519,서스페리아,20197503,10,103
20190506~20190512,어벤져스: 엔드게임,20184889,1,89
20190506~20190512,나의 특별한 형제,20185784,2,100
20190506~20190512,걸캅스,20184082,3,94
20190506~20190512,명탐정 피카츄,20198598,4,99
20190506~20190512,뽀로로 극장판 보물섬 대모험,20198183,5,101
20190506~20190512,호텔 뭄바이,20185384,6,102
20190506~20190512,악인전,20188941,7,90
20190506~20190512,배심원들,20187981,8,98
20190506~20190512,어글리 돌,20197147,9,104
20190506~20190512,안도 타다오,20169323,10,105
20190429~20190505,어벤져스: 엔드게임,20184889,1,89
20190429~20190505,나의 특별한 형제,20185784,2,100
