showRange,movieNm,rank,movieCd,openDt,audiAcc
20171106~20171112,미옥,5,20161681,2017-11-09,192862
20171106~20171112,침묵,6,20169643,2017-11-02,468934
20171106~20171112,채비,7,20175441,2017-11-09,74888
20171106~20171112,너의 췌장을 먹고 싶어,8,20171024,2017-10-25,411141
20171106~20171112,러빙 빈센트,9,20179942,2017-11-09,50654
20171106~20171112,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,10,20175244,2017-11-09,40711
20171030~20171105,토르: 라그나로크,1,20175121,2017-10-25,3571040
20171030~20171105,부라더,2,20172603,2017-11-02,731562
20171030~20171105,범죄도시,3,20172742,2017-10-03,6368998
20171030~20171105,침묵,4,20169643,2017-11-02,302647
20171030~20171105,너의 췌장을 먹고 싶어,5,20171024,2017-10-25,345547
20171030~20171105,직쏘,6,20173724,2017-11-02,76656
20171030~20171105,지오스톰,7,20173694,2017-10-19,1025322
20171030~20171105,원스,8,20070454,2007-09-20,255422
20171030~20171105,대장 김창수,9,20164424,2017-10-19,377071
20171030~20171105,뷰티풀 투모로우,10,20175208,2017-10-26,43715
20171023~20171029,토르: 라그나로크,1,20175121,2017-10-25,2214586
20171023~20171029,범죄도시,2,20172742,2017-10-03,5845057
20171023~20171029,지오스톰,3,20173694,2017-10-19,970974
20171023~20171029,너의 췌장을 먹고 싶어,4,20171024,2017-10-25,198963
20171023~20171029,대장 김창수,5,20164424,2017-10-19,358428
20171023~20171029,남한산성,6,20165450,2017-10-03,3826223
20171023~20171029,"나는 내일, 어제의 너와 만난다",7,20176767,2017-10-12,157991
20171023~20171029,아이 캔 스피크,8,20174142,2017-09-21,3258260
20171023~20171029,뷰티풀 투모로우,9,20175208,2017-10-26,26830
20171023~20171029,노 게임 노 라이프 -제로-,10,20173806,2017-10-19,62123
20171016~20171022,범죄도시,1,20172742,2017-10-03,4967192
20171016~20171022,지오스톰,2,20173694,2017-10-19,694758
20171016~20171022,대장 김창수,3,20164424,2017-10-19,260225
20171016~20171022,남한산성,4,20165450,2017-10-03,3774679
20171016~20171022,킹스맨: 골든 서클,5,20175222,2017-09-27,4922079
20171016~20171022,아이 캔 스피크,6,20174142,2017-09-21,3223300
20171016~20171022,블레이드 러너 2049,7,20168282,2017-10-12,301404
20171016~20171022,희생부활자,8,20154907,2017-10-12,317745
20171016~20171022,"나는 내일, 어제의 너와 만난다",9,20176767,2017-10-12,120564
20171016~20171022,노 게임 노 라이프 -제로-,10,20173806,2017-10-19,42070
20171009~20171015,범죄도시,1,20172742,2017-10-03,3673466
20171009~20171015,남한산성,2,20165450,2017-10-03,3617655
20171009~20171015,킹스맨: 골든 서클,3,20175222,2017-09-27,4811060
20171009~20171015,아이 캔 스피크,4,20174142,2017-09-21,3141186
20171009~20171015,희생부활자,5,20154907,2017-10-12,241629
20171009~20171015,블레이드 러너 2049,6,20168282,2017-10-12,224181
20171009~20171015,넛잡 2,7,20171817,2017-10-03,356706
20171009~20171015,딥,8,20170964,2017-10-03,218429
20171009~20171015,"나는 내일, 어제의 너와 만난다",9,20176767,2017-10-12,47874
20171009~20171015,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,10,20172142,2017-09-27,211374
20171002~20171008,남한산성,1,20165450,2017-10-03,2999059
20171002~20171008,킹스맨: 골든 서클,2,20175222,2017-09-27,4401028
20171002~20171008,범죄도시,3,20172742,2017-10-03,1807161
20171002~20171008,아이 캔 스피크,4,20174142,2017-09-21,2869602
20171002~20171008,넛잡 2,5,20171817,2017-10-03,249939
20171002~20171008,딥,6,20170964,2017-10-03,170363
20171002~20171008,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,7,20172142,2017-09-27,192214
20171002~20171008,레고 닌자고 무비,8,20170364,2017-09-28,143354
20171002~20171008,킬러의 보디가드,9,20171962,2017-08-30,1709712
20171002~20171008,리틀 프린세스 소피아 : 신비한 섬,10,20172627,2017-09-28,50611
20170925~20171001,킹스맨: 골든 서클,1,20175222,2017-09-27,2350671
20170925~20171001,아이 캔 스피크,2,20174142,2017-09-21,1649352
20170925~20171001,살인자의 기억법,3,20154909,2017-09-06,2622858
20170925~20171001,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,4,20172142,2017-09-27,93109
20170925~20171001,베이비 드라이버,5,20171090,2017-09-14,801579
20170925~20171001,레고 닌자고 무비,6,20170364,2017-09-28,75256
20170925~20171001,킬러의 보디가드,7,20171962,2017-08-30,1645640
20170925~20171001,인비저블 게스트,8,20173945,2017-09-21,81574
20170925~20171001,김광석,9,20166132,2017-08-30,82945
20170925~20171001,남한산성,10,20165450,2017-10-03,19196
20170918~20170924,아이 캔 스피크,1,20174142,2017-09-21,726329
20170918~20170924,살인자의 기억법,2,20154909,2017-09-06,2473599
20170918~20170924,베이비 드라이버,3,20171090,2017-09-14,718162
20170918~20170924,아메리칸 메이드,4,20177541,2017-09-14,385861
20170918~20170924,킬러의 보디가드,5,20171962,2017-08-30,1597219
20170918~20170924,그것,6,20179696,2017-09-06,872909
20170918~20170924,인비저블 게스트,7,20173945,2017-09-21,44460
20170918~20170924,잃어버린 도시 Z,8,20168241,2017-09-21,35565
20170918~20170924,몬스터 콜,9,20170607,2017-09-14,75100
20170918~20170924,택시운전사,10,20162869,2017-08-02,12176753
20170911~20170917,살인자의 기억법,1,20154909,2017-09-06,2063878
20170911~20170917,베이비 드라이버,2,20171090,2017-09-14,422056
20170911~20170917,아메리칸 메이드,3,20177541,2017-09-14,266362
20170911~20170917,그것,4,20179696,2017-09-06,809789
20170911~20170917,킬러의 보디가드,5,20171962,2017-08-30,1496398
20170911~20170917,택시운전사,6,20162869,2017-08-02,12152676
20170911~20170917,청년경찰,7,20162442,2017-08-09,5638636
20170911~20170917,저수지 게임,8,20171923,2017-09-07,93661
20170911~20170917,몬스터 콜,9,20170607,2017-09-14,46897
20170911~20170917,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,10,20171022,2017-09-07,120878
20170904~20170910,살인자의 기억법,1,20154909,2017-09-06,1191407
20170904~20170910,그것,2,20179696,2017-09-06,572427
20170904~20170910,킬러의 보디가드,3,20171962,2017-08-30,1273427
20170904~20170910,택시운전사,4,20162869,2017-08-02,12068019
20170904~20170910,청년경찰,5,20162442,2017-08-09,5576863
20170904~20170910,발레리안: 천 개 행성의 도시,6,20158047,2017-08-30,491321
20170904~20170910,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,7,20171022,2017-09-07,87890
20170904~20170910,브이아이피,8,20164174,2017-08-23,1364953
20170904~20170910,저수지 게임,9,20171923,2017-09-07,47139
20170904~20170910,아토믹 블론드,10,20179491,2017-08-30,150895
20170828~20170903,킬러의 보디가드,1,20171962,2017-08-30,776937
20170828~20170903,청년경찰,2,20162442,2017-08-09,5377301
20170828~20170903,택시운전사,3,20162869,2017-08-02,11862984
20170828~20170903,브이아이피,4,20164174,2017-08-23,1315483
20170828~20170903,발레리안: 천 개 행성의 도시,5,20158047,2017-08-30,370138
20170828~20170903,장산범,6,20151003,2017-08-17,1286804
20170828~20170903,아토믹 블론드,7,20179491,2017-08-30,114649
20170828~20170903,로마의 휴일,8,20179407,2017-08-30,111457
20170828~20170903,혹성탈출: 종의 전쟁,9,20179901,2017-08-15,2036947
20170828~20170903,공범자들,10,20179187,2017-08-17,206599
20170821~20170827,택시운전사,1,20162869,2017-08-02,11368432
20170821~20170827,브이아이피,2,20164174,2017-08-23,940323
20170821~20170827,청년경찰,3,20162442,2017-08-09,4834124
20170821~20170827,장산범,4,20151003,2017-08-17,1121885
20170821~20170827,혹성탈출: 종의 전쟁,5,20179901,2017-08-15,1946789
20170821~20170827,애나벨 : 인형의 주인,6,20161081,2017-08-10,1897937
20170821~20170827,공범자들,7,20179187,2017-08-17,149348
20170821~20170827,다크타워: 희망의 탑,8,20170022,2017-08-23,80298
20170821~20170827,슈퍼배드 3,9,20173403,2017-07-26,3307911
20170821~20170827,빅풋 주니어,10,20178641,2017-08-09,300223
20170814~20170820,택시운전사,1,20162869,2017-08-02,10352984
20170814~20170820,청년경찰,2,20162442,2017-08-09,3906404
20170814~20170820,혹성탈출: 종의 전쟁,3,20179901,2017-08-15,1540913
20170814~20170820,애나벨 : 인형의 주인,4,20161081,2017-08-10,1753606
20170814~20170820,장산범,5,20151003,2017-08-17,643962
20170814~20170820,슈퍼배드 3,6,20173403,2017-07-26,3251835
20170814~20170820,빅풋 주니어,7,20178641,2017-08-09,256405
20170814~20170820,군함도,8,20161481,2017-07-26,6554420
20170814~20170820,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,9,20179085,2017-08-10,153618
20170814~20170820,공범자들,10,20179187,2017-08-17,65970
20170807~20170813,택시운전사,1,20162869,2017-08-02,7937810
20170807~20170813,청년경찰,2,20162442,2017-08-09,1948171
20170807~20170813,애나벨 : 인형의 주인,3,20161081,2017-08-10,934774
20170807~20170813,슈퍼배드 3,4,20173403,2017-07-26,3028287
20170807~20170813,군함도,5,20161481,2017-07-26,6465993
20170807~20170813,빅풋 주니어,6,20178641,2017-08-09,131838
20170807~20170813,덩케르크,7,20164621,2017-07-20,2716807
20170807~20170813,명탐정 코난:진홍의 연가,8,20170124,2017-08-02,414156
20170807~20170813,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,9,20179085,2017-08-10,84133
20170807~20170813,파리로 가는 길,10,20178762,2017-08-03,53208
20170731~20170806,택시운전사,1,20162869,2017-08-02,4361047
20170731~20170806,군함도,2,20161481,2017-07-26,6080649
20170731~20170806,슈퍼배드 3,3,20173403,2017-07-26,2616327
20170731~20170806,덩케르크,4,20164621,2017-07-20,2593808
20170731~20170806,명탐정 코난:진홍의 연가,5,20170124,2017-08-02,311932
20170731~20170806,스파이더맨: 홈 커밍,6,20167303,2017-07-05,7240766
20170731~20170806,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,7,20178321,2017-07-20,316654
20170731~20170806,내 사랑,8,20174801,2017-07-12,253540
20170731~20170806,이모티: 더 무비,9,20179186,2017-08-02,28250
20170731~20170806,플립,10,20177501,2017-07-12,349297
20170724~20170730,군함도,1,20161481,2017-07-26,4070080
20170724~20170730,슈퍼배드 3,2,20173403,2017-07-26,1225839
20170724~20170730,덩케르크,3,20164621,2017-07-20,2179492
20170724~20170730,스파이더맨: 홈 커밍,4,20167303,2017-07-05,7131999
20170724~20170730,47 미터,5,20177181,2017-07-19,572901
20170724~20170730,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,6,20178321,2017-07-20,237116
20170724~20170730,플립,7,20177501,2017-07-12,328717
20170724~20170730,내 사랑,8,20174801,2017-07-12,214243
20170724~20170730,카3: 새로운 도전,9,20175522,2017-07-13,472712
20170724~20170730,예수는 역사다,10,20176562,2017-07-13,135885
20170717~20170723,덩케르크,1,20164621,2017-07-20,1349619
20170717~20170723,스파이더맨: 홈 커밍,2,20167303,2017-07-05,6855260
20170717~20170723,47 미터,3,20177181,2017-07-19,439979
20170717~20170723,카3: 새로운 도전,4,20175522,2017-07-13,432344
20170717~20170723,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,5,20178321,2017-07-20,137959
20170717~20170723,플립,6,20177501,2017-07-12,267916
20170717~20170723,박열,7,20178982,2017-06-28,2338871
20170717~20170723,내 사랑,8,20174801,2017-07-12,169187
20170717~20170723,예수는 역사다,9,20176562,2017-07-13,106388
20170717~20170723,오즈: 신기한 마법가루,10,20177761,2017-07-20,54998
20170710~20170716,스파이더맨: 홈 커밍,1,20167303,2017-07-05,5902826
20170710~20170716,박열,2,20178982,2017-06-28,2212215
20170710~20170716,카3: 새로운 도전,3,20175522,2017-07-13,288762
20170710~20170716,플립,4,20177501,2017-07-12,134623
20170710~20170716,내 사랑,5,20174801,2017-07-12,85996
20170710~20170716,다크 나이트,6,20081056,2008-08-06,4148762
20170710~20170716,옥자,7,20158485,2017-06-29,268452
20170710~20170716,예수는 역사다,8,20176562,2017-07-13,47752
20170710~20170716,트랜스포머: 최후의 기사,9,20166967,2017-06-21,2607123
20170710~20170716,택시운전사,10,20162869,2017-08-02,36825
20170703~20170709,스파이더맨: 홈 커밍,1,20167303,2017-07-05,3563946
20170703~20170709,박열,2,20178982,2017-06-28,1842240
20170703~20170709,트랜스포머: 최후의 기사,3,20166967,2017-06-21,2566880
20170703~20170709,옥자,4,20158485,2017-06-29,215145
20170703~20170709,리얼,5,20159647,2017-06-28,448430
20170703~20170709,지랄발광 17세,6,20176961,2017-06-28,71400
20170703~20170709,미이라,7,20166488,2017-06-06,3678083
20170703~20170709,하루,8,20166384,2017-06-15,1127764
20170703~20170709,헤드윅,9,20020186,2002-08-09,31740
20170703~20170709,노무현입니다,10,20174602,2017-05-25,1842323
20170626~20170702,박열,1,20178982,2017-06-28,1180561
20170626~20170702,트랜스포머: 최후의 기사,2,20166967,2017-06-21,2418138
20170626~20170702,리얼,3,20159647,2017-06-28,373721
20170626~20170702,하루,4,20166384,2017-06-15,1111858
20170626~20170702,옥자,5,20158485,2017-06-29,116847
20170626~20170702,미이라,6,20166488,2017-06-06,3661281
20170626~20170702,악녀,7,20162343,2017-06-08,1192888
20170626~20170702,지랄발광 17세,8,20176961,2017-06-28,39721
20170626~20170702,노무현입니다,9,20174602,2017-05-25,1831193
20170626~20170702,더 서클,10,20176201,2017-06-22,68616
20170619~20170625,트랜스포머: 최후의 기사,1,20166967,2017-06-21,1750613
20170619~20170625,하루,2,20166384,2017-06-15,989152
20170619~20170625,미이라,3,20166488,2017-06-06,3562454
20170619~20170625,악녀,4,20162343,2017-06-08,1127499
20170619~20170625,노무현입니다,5,20174602,2017-05-25,1798055
20170619~20170625,원더 우먼,6,20168261,2017-05-31,2141574
20170619~20170625,더 서클,7,20176201,2017-06-22,50118
20170619~20170625,캐리비안의 해적: 죽은 자는 말이 없다,8,20170982,2017-05-24,3039593
20170619~20170625,다크 하우스,9,20175982,2017-06-22,28965
20170619~20170625,언더더씨,10,20175821,2017-06-22,22351
20170612~20170618,미이라,1,20166488,2017-06-06,3240885
20170612~20170618,하루,2,20166384,2017-06-15,565894
20170612~20170618,악녀,3,20162343,2017-06-08,927060
20170612~20170618,원더 우먼,4,20168261,2017-05-31,2080039
20170612~20170618,노무현입니다,5,20174602,2017-05-25,1722990
20170612~20170618,캐리비안의 해적: 죽은 자는 말이 없다,6,20170982,2017-05-24,3007084
20170612~20170618,나의 붉은고래,7,20175423,2017-06-15,45432
20170612~20170618,꼬마참새 리차드: 아프리카 원정대,8,20176741,2017-06-15,33477
20170612~20170618,대립군,9,20169348,2017-05-31,815757
20170612~20170618,꼬마돼지 베이브의 대모험,10,20172241,2017-06-15,21755
20170605~20170611,미이라,1,20166488,2017-06-06,2384201
20170605~20170611,원더 우먼,2,20168261,2017-05-31,1859930
20170605~20170611,악녀,3,20162343,2017-06-08,458838
20170605~20170611,캐리비안의 해적: 죽은 자는 말이 없다,4,20170982,2017-05-24,2881416
20170605~20170611,노무현입니다,5,20174602,2017-05-25,1567822
20170605~20170611,대립군,6,20169348,2017-05-31,792640
20170605~20170611,겟 아웃,7,20175262,2017-05-17,2105869
20170605~20170611,베이블레이드 버스트 갓 : 갓 발키리의 탄생,8,20176141,2017-06-01,103135
20170605~20170611,보스 베이비,9,20174061,2017-05-03,2432721
20170605~20170611,바다 탐험대 옥토넛 시즌4: 더 파이널,10,20174821,2017-06-01,61644
20170529~20170604,원더 우먼,1,20168261,2017-05-31,1158394
20170529~20170604,캐리비안의 해적: 죽은 자는 말이 없다,2,20170982,2017-05-24,2430495
20170529~20170604,대립군,3,20169348,2017-05-31,594507
20170529~20170604,노무현입니다,4,20174602,2017-05-25,1176749
20170529~20170604,겟 아웃,5,20175262,2017-05-17,2008751
20170529~20170604,불한당: 나쁜 놈들의 세상,6,20164844,2017-05-17,908271
20170529~20170604,베이블레이드 버스트 갓 : 갓 발키리의 탄생,7,20176141,2017-06-01,49448
20170529~20170604,보스 베이비,8,20174061,2017-05-03,2385976
20170529~20170604,너와 100번째 사랑,9,20173642,2017-05-25,59146
20170529~20170604,7번째 내가 죽던 날,10,20174803,2017-05-31,25947
20170522~20170528,캐리비안의 해적: 죽은 자는 말이 없다,1,20170982,2017-05-24,1526655
20170522~20170528,겟 아웃,2,20175262,2017-05-17,1722808
20170522~20170528,노무현입니다,3,20174602,2017-05-25,596691
20170522~20170528,불한당: 나쁜 놈들의 세상,4,20164844,2017-05-17,846266
20170522~20170528,보스 베이비,5,20174061,2017-05-03,2340536
20170522~20170528,킹 아서: 제왕의 검,6,20173961,2017-05-17,408198
20170522~20170528,보안관,7,20162722,2017-05-03,2575570
20170522~20170528,가디언즈 오브 갤럭시 VOL. 2,8,20163603,2017-05-03,2722323
20170522~20170528,에이리언: 커버넌트,9,20179382,2017-05-09,1296444
20170522~20170528,너와 100번째 사랑,10,20173642,2017-05-25,30132
20170515~20170521,겟 아웃,1,20175262,2017-05-17,1003999
20170515~20170521,불한당: 나쁜 놈들의 세상,2,20164844,2017-05-17,589914
20170515~20170521,보안관,3,20162722,2017-05-03,2509467
20170515~20170521,보스 베이비,4,20174061,2017-05-03,2210194
20170515~20170521,에이리언: 커버넌트,5,20179382,2017-05-09,1244927
20170515~20170521,킹 아서: 제왕의 검,6,20173961,2017-05-17,329889
20170515~20170521,가디언즈 오브 갤럭시 VOL. 2,7,20163603,2017-05-03,2663814
20170515~20170521,목소리의 형태,8,20170321,2017-05-09,258840
20170515~20170521,석조저택 살인사건,9,20156708,2017-05-09,346044
20170515~20170521,임금님의 사건수첩,10,20161726,2017-04-26,1631220
20170508~20170514,에이리언: 커버넌트,1,20179382,2017-05-09,959957
20170508~20170514,보안관,2,20162722,2017-05-03,2206565
20170508~20170514,보스 베이비,3,20174061,2017-05-03,1922021
20170508~20170514,가디언즈 오브 갤럭시 VOL. 2,4,20163603,2017-05-03,2425685
20170508~20170514,석조저택 살인사건,5,20156708,2017-05-09,291889
20170508~20170514,목소리의 형태,6,20170321,2017-05-09,202626
20170508~20170514,임금님의 사건수첩,7,20161726,2017-04-26,1612718
20170508~20170514,분노의 질주: 더 익스트림,8,20167542,2017-04-12,3645767
20170508~20170514,킹 아서: 제왕의 검,9,20173961,2017-05-17,50750
20170508~20170514,스머프: 비밀의 숲,10,20161665,2017-04-28,420615
20170501~20170507,가디언즈 오브 갤럭시 VOL. 2,1,20163603,2017-05-03,1723838
20170501~20170507,보안관,2,20162722,2017-05-03,1260145
20170501~20170507,보스 베이비,3,20174061,2017-05-03,1207265
20170501~20170507,임금님의 사건수첩,4,20161726,2017-04-26,1493047
20170501~20170507,특별시민,5,20162871,2017-04-26,1334084
20170501~20170507,분노의 질주: 더 익스트림,6,20167542,2017-04-12,3591554
20170501~20170507,스머프: 비밀의 숲,7,20161665,2017-04-28,386159
20170501~20170507,슈퍼 빼꼼: 스파이 대작전,8,20173061,2017-05-03,77067
20170501~20170507,극장판 또봇: 로봇군단의 습격,9,20174165,2017-04-27,128099
20170501~20170507,미녀와 야수,10,20164721,2017-03-16,5132304
20170424~20170430,특별시민,1,20162871,2017-04-26,904244
20170424~20170430,임금님의 사건수첩,2,20161726,2017-04-26,722337
20170424~20170430,분노의 질주: 더 익스트림,3,20167542,2017-04-12,3199324
20170424~20170430,스머프: 비밀의 숲,4,20161665,2017-04-28,159854
20170424~20170430,아빠는 딸,5,20151227,2017-04-12,629652
20170424~20170430,미녀와 야수,6,20164721,2017-03-16,5094111
20170424~20170430,극장판 또봇: 로봇군단의 습격,7,20174165,2017-04-27,57193
20170424~20170430,"서서평, 천천히 평온하게",8,20173301,2017-04-26,40346
20170424~20170430,오두막,9,20172541,2017-04-20,49328
20170424~20170430,극장판 쿠로코의 농구 라스트 게임,10,20175142,2017-04-27,14730
20170417~20170423,분노의 질주: 더 익스트림,1,20167542,2017-04-12,2581463
20170417~20170423,아빠는 딸,2,20151227,2017-04-12,541637
20170417~20170423,미녀와 야수,3,20164721,2017-03-16,5023181
20170417~20170423,프리즌,4,20162181,2017-03-23,2920530
20170417~20170423,파워레인져스: 더 비기닝,5,20179662,2017-04-20,62029
20170417~20170423,오두막,6,20172541,2017-04-20,29329
20170417~20170423,히든 피겨스,7,20167363,2017-03-23,428291
20170417~20170423,라이프,8,20171381,2017-04-05,457539
20170417~20170423,가디언즈 오브 갤럭시,9,20149317,2014-07-31,1329992
20170417~20170423,파운더,10,20172125,2017-04-20,19866
20170410~20170416,분노의 질주: 더 익스트림,1,20167542,2017-04-12,1428592
20170410~20170416,아빠는 딸,2,20151227,2017-04-12,278414
20170410~20170416,미녀와 야수,3,20164721,2017-03-16,4864721
20170410~20170416,프리즌,4,20162181,2017-03-23,2850134
20170410~20170416,라이프,5,20171381,2017-04-05,435158
20170410~20170416,어느날,6,20167901,2017-04-05,220707
20170410~20170416,히든 피겨스,7,20167363,2017-03-23,403545
20170410~20170416,시간위의 집,8,20161923,2017-04-05,125702
20170410~20170416,공각기동대 : 고스트 인 더 쉘,9,20163194,2017-03-29,757594
20170410~20170416,원라인,10,20151230,2017-03-29,430116
20170403~20170409,미녀와 야수,1,20164721,2017-03-16,4622028
20170403~20170409,프리즌,2,20162181,2017-03-23,2675734
20170403~20170409,라이프,3,20171381,2017-04-05,331156
20170403~20170409,공각기동대 : 고스트 인 더 쉘,4,20163194,2017-03-29,735336
20170403~20170409,어느날,5,20167901,2017-04-05,162956
20170403~20170409,원라인,6,20151230,2017-03-29,412699
20170403~20170409,시간위의 집,7,20161923,2017-04-05,98433
20170403~20170409,히든 피겨스,8,20167363,2017-03-23,366056
20170403~20170409,패트리어트 데이,9,20171781,2017-04-06,58122
20170403~20170409,슈퍼 버드,10,20162607,2017-04-06,18039
20170327~20170402,미녀와 야수,1,20164721,2017-03-16,4097371
20170327~20170402,프리즌,2,20162181,2017-03-23,2214824
20170327~20170402,공각기동대 : 고스트 인 더 쉘,3,20163194,2017-03-29,569701
20170327~20170402,원라인,4,20151230,2017-03-29,291031
20170327~20170402,히든 피겨스,5,20167363,2017-03-23,287487
20170327~20170402,보통사람,6,20167902,2017-03-23,366697
20170327~20170402,데스노트: 더 뉴 월드,7,20167005,2017-03-29,22822
20170327~20170402,미스 슬로운,8,20167364,2017-03-29,22194
20170327~20170402,밤의 해변에서 혼자,9,20179442,2017-03-23,40725
20170327~20170402,콩: 스컬 아일랜드,10,20168183,2017-03-08,1688976
20170320~20170326,미녀와 야수,1,20164721,2017-03-16,3104664
20170320~20170326,프리즌,2,20162181,2017-03-23,1243668
20170320~20170326,보통사람,3,20167902,2017-03-23,255227
20170320~20170326,히든 피겨스,4,20167363,2017-03-23,139283
20170320~20170326,콩: 스컬 아일랜드,5,20168183,2017-03-08,1674270
20170320~20170326,로건,6,20161827,2017-03-01,2155751
20170320~20170326,비정규직 특수요원,7,20167905,2017-03-16,146802
20170320~20170326,라라랜드,8,20167904,2016-12-07,3473804
20170320~20170326,밤의 해변에서 혼자,9,20179442,2017-03-23,20209
20170320~20170326,극장판 암살교실 : 365일의 시간,10,20171801,2017-03-23,18560
20170313~20170319,미녀와 야수,1,20164721,2017-03-16,1571430
20170313~20170319,콩: 스컬 아일랜드,2,20168183,2017-03-08,1549189
20170313~20170319,로건,3,20161827,2017-03-01,2082967
20170313~20170319,비정규직 특수요원,4,20167905,2017-03-16,114741
20170313~20170319,해빙,5,20150971,2017-03-01,1197869
20170313~20170319,라라랜드,6,20167904,2016-12-07,3453504
20170313~20170319,재심,7,20166421,2017-02-15,2415253
20170313~20170319,파도가 지나간 자리,8,20168750,2017-03-08,68026
20170313~20170319,23 아이덴티티,9,20170241,2017-02-22,1673890
20170313~20170319,스페이스 비트윈 어스,10,20178942,2017-03-16,22200
20170306~20170312,콩: 스컬 아일랜드,1,20168183,2017-03-08,1011350
20170306~20170312,로건,2,20161827,2017-03-01,1771321
20170306~20170312,해빙,3,20150971,2017-03-01,1142194
20170306~20170312,23 아이덴티티,4,20170241,2017-02-22,1647464
20170306~20170312,재심,5,20166421,2017-02-15,2381161
20170306~20170312,라라랜드,6,20167904,2016-12-07,3414504
20170306~20170312,파도가 지나간 자리,7,20168750,2017-03-08,38111
20170306~20170312,문라이트,8,20165927,2017-02-22,141070
20170306~20170312,눈길,9,20158799,2017-03-01,118820
20170306~20170312,트롤,10,20161744,2017-02-16,669262
20170227~20170305,로건,1,20161827,2017-03-01,1079865
20170227~20170305,해빙,2,20150971,2017-03-01,909888
20170227~20170305,23 아이덴티티,3,20170241,2017-02-22,1527342
20170227~20170305,재심,4,20166421,2017-02-15,2266924
20170227~20170305,트롤,5,20161744,2017-02-16,642652
20170227~20170305,조작된 도시,6,20150964,2017-02-09,2492389
20170227~20170305,눈길,7,20158799,2017-03-01,89721
20170227~20170305,싱글라이더,8,20161723,2017-02-22,338663
20170227~20170305,존 윅 - 리로드,9,20166101,2017-02-22,247687
20170227~20170305,문라이트,10,20165927,2017-02-22,105284
20170220~20170226,23 아이덴티티,1,20170241,2017-02-22,966904
20170220~20170226,재심,2,20166421,2017-02-15,1887218
20170220~20170226,조작된 도시,3,20150964,2017-02-09,2379539
20170220~20170226,싱글라이더,4,20161723,2017-02-22,262306
20170220~20170226,트롤,5,20161744,2017-02-16,467052
20170220~20170226,존 윅 - 리로드,6,20166101,2017-02-22,179158
20170220~20170226,공조,7,20151228,2017-01-18,7796328
20170220~20170226,그레이트 월,8,20163580,2017-02-15,488683
20170220~20170226,핵소 고지,9,20167922,2017-02-22,121682
20170220~20170226,루시드 드림,10,20156562,2017-02-22,85247
20170213~20170219,재심,1,20166421,2017-02-15,1022790
20170213~20170219,조작된 도시,2,20150964,2017-02-09,1974264
20170213~20170219,공조,3,20151228,2017-01-18,7667410
20170213~20170219,그레이트 월,4,20163580,2017-02-15,371126
20170213~20170219,트롤,5,20161744,2017-02-16,215706
20170213~20170219,더 큐어,6,20167362,2017-02-15,126456
20170213~20170219,트리플 엑스 리턴즈,7,20167716,2017-02-08,465273
20170213~20170219,50가지 그림자: 심연,8,20161141,2017-02-09,173351
20170213~20170219,발레리나,9,20167644,2017-02-09,157498
20170213~20170219,마이펫 오지,10,20167906,2017-02-16,63703
20170206~20170212,조작된 도시,1,20150964,2017-02-09,1072450
20170206~20170212,공조,2,20151228,2017-01-18,7261875
20170206~20170212,트리플 엑스 리턴즈,3,20167716,2017-02-08,368339
20170206~20170212,더 킹,4,20151229,2017-01-18,5271641
20170206~20170212,컨택트,5,20179281,2017-02-02,563991
20170206~20170212,모아나,6,20165443,2017-01-12,2264365
20170206~20170212,50가지 그림자: 심연,7,20161141,2017-02-09,109366
20170206~20170212,발레리나,8,20167644,2017-02-09,94689
20170206~20170212,명탐정 코난: 에피소드 원-작아진 명탐정,9,20178881,2017-02-08,81707
20170206~20170212,레고 배트맨 무비,10,20162873,2017-02-09,105962
20170130~20170205,공조,1,20151228,2017-01-18,6272390
20170130~20170205,더 킹,2,20151229,2017-01-18,4991355
20170130~20170205,모아나,3,20165443,2017-01-12,2146036
20170130~20170205,컨택트,4,20179281,2017-02-02,358342
20170130~20170205,레지던트 이블: 파멸의 날,5,20168688,2017-01-25,708002
20170130~20170205,너의 이름은.,6,20161872,2017-01-04,3554657
20170130~20170205,라라랜드,7,20167904,2016-12-07,3210476
20170130~20170205,터닝메카드W: 블랙미러의 부활,8,20163845,2017-01-18,422855
20170130~20170205,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,9,20167285,2017-01-25,116961
20170130~20170205,라이언,10,20167324,2017-02-01,59439
20170123~20170129,공조,1,20151228,2017-01-18,3795042
20170123~20170129,더 킹,2,20151229,2017-01-18,3835359
20170123~20170129,모아나,3,20165443,2017-01-12,1728762
20170123~20170129,레지던트 이블: 파멸의 날,4,20168688,2017-01-25,409543
