showRange,movieNm,rank,movieCd,openDt,audiAcc
20190909~20190915,타짜: 원 아이드 잭,2,20184572,2019-09-11,1684033
20190909~20190915,"힘을 내요, 미스터 리",3,20187322,2019-09-11,885846
20190909~20190915,극장판 헬로카봇 : 달나라를 구해줘!,4,20193821,2019-09-04,503224
20190909~20190915,엑시트,5,20184621,2019-07-31,9387083
20190909~20190915,그것: 두 번째 이야기,6,20192804,2019-09-04,557014
20190909~20190915,유열의 음악앨범,7,20181416,2019-08-28,1225554
20190909~20190915,극장판 반지의 비밀일기,8,20194045,2019-09-11,56299
20190909~20190915,분노의 질주: 홉스&쇼,9,20196850,2019-08-14,3649860
20190909~20190915,변신,10,20184543,2019-08-21,1797796
20190902~20190908,유열의 음악앨범,1,20181416,2019-08-28,1117413
20190902~20190908,그것: 두 번째 이야기,2,20192804,2019-09-04,414878
20190902~20190908,극장판 헬로카봇 : 달나라를 구해줘!,3,20193821,2019-09-04,319417
20190902~20190908,엑시트,4,20184621,2019-07-31,9215318
20190902~20190908,변신,5,20184543,2019-08-21,1757679
20190902~20190908,분노의 질주: 홉스&쇼,6,20196850,2019-08-14,3607501
20190902~20190908,47미터 2,7,20193665,2019-08-28,440356
20190902~20190908,봉오동 전투,8,20184462,2019-08-07,4767092
20190902~20190908,안녕 베일리,9,20194541,2019-09-05,39817
20190902~20190908,광대들: 풍문조작단,10,20185985,2019-08-21,632384
20190826~20190901,변신,1,20184543,2019-08-21,1499360
20190826~20190901,유열의 음악앨범,2,20181416,2019-08-28,684517
20190826~20190901,엑시트,3,20184621,2019-07-31,8907014
20190826~20190901,분노의 질주: 홉스&쇼,4,20196850,2019-08-14,3414361
20190826~20190901,47미터 2,5,20193665,2019-08-28,311240
20190826~20190901,봉오동 전투,6,20184462,2019-08-07,4707006
20190826~20190901,광대들: 풍문조작단,7,20185985,2019-08-21,597425
20190826~20190901,안나,8,20194384,2019-08-28,73250
20190826~20190901,커런트 워,9,20171021,2019-08-22,194259
20190826~20190901,레드슈즈,10,20198323,2019-07-25,786502
20190819~20190825,분노의 질주: 홉스&쇼,1,20196850,2019-08-14,2965558
20190819~20190825,엑시트,2,20184621,2019-07-31,8351414
20190819~20190825,변신,3,20184543,2019-08-21,768998
20190819~20190825,봉오동 전투,4,20184462,2019-08-07,4506635
20190819~20190825,광대들: 풍문조작단,5,20185985,2019-08-21,433419
20190819~20190825,커런트 워,6,20171021,2019-08-22,131202
20190819~20190825,"안녕, 티라노: 영원히, 함께",7,20182241,2019-08-14,189725
20190819~20190825,마이펫의 이중생활 2,8,20183844,2019-07-31,1100521
20190819~20190825,애프터,9,20191604,2019-08-22,37839
20190819~20190825,레드슈즈,10,20198323,2019-07-25,762734
20190812~20190818,분노의 질주: 홉스&쇼,1,20196850,2019-08-14,2030128
20190812~20190818,봉오동 전투,2,20184462,2019-08-07,3939974
20190812~20190818,엑시트,3,20184621,2019-07-31,7548770
20190812~20190818,"안녕, 티라노: 영원히, 함께",4,20182241,2019-08-14,145126
20190812~20190818,마이펫의 이중생활 2,5,20183844,2019-07-31,1061589
20190812~20190818,암전,6,20188404,2019-08-15,85378
20190812~20190818,사자,7,20180442,2019-07-31,1602046
20190812~20190818,원더랜드,8,20187959,2019-08-14,73851
20190812~20190818,레드슈즈,9,20198323,2019-07-25,731379
20190812~20190818,알라딘,10,20183867,2019-05-23,12501428
20190805~20190811,엑시트,1,20184621,2019-07-31,5778529
20190805~20190811,봉오동 전투,2,20184462,2019-08-07,2032319
20190805~20190811,사자,3,20180442,2019-07-31,1527726
20190805~20190811,마이펫의 이중생활 2,4,20183844,2019-07-31,933513
20190805~20190811,브링 더 소울 : 더 무비,5,20193275,2019-08-07,274064
20190805~20190811,알라딘,6,20183867,2019-05-23,12440282
20190805~20190811,라이온 킹,7,20175771,2019-07-17,4684247
20190805~20190811,레드슈즈,8,20198323,2019-07-25,663766
20190805~20190811,앵그리 버드 2: 독수리 왕국의 침공,9,20191741,2019-08-07,134529
20190805~20190811,김복동,10,20190741,2019-08-08,29397
20190729~20190804,엑시트,1,20184621,2019-07-31,2960179
20190729~20190804,사자,2,20180442,2019-07-31,1166293
20190729~20190804,라이온 킹,3,20175771,2019-07-17,4500194
20190729~20190804,마이펫의 이중생활 2,4,20183844,2019-07-31,637941
20190729~20190804,알라딘,5,20183867,2019-05-23,12231054
20190729~20190804,레드슈즈,6,20198323,2019-07-25,527343
20190729~20190804,나랏말싸미,7,20182490,2019-07-24,930998
20190729~20190804,스파이더맨: 파 프롬 홈,8,20196309,2019-07-02,7996657
20190729~20190804,명탐정 코난: 감청의 권,9,20192725,2019-07-24,214485
20190729~20190804,롱 샷,10,20190002,2019-07-24,184741
20190722~20190728,라이온 킹,1,20175771,2019-07-17,3706693
20190722~20190728,나랏말싸미,2,20182490,2019-07-24,755446
20190722~20190728,알라딘,3,20183867,2019-05-23,11661997
20190722~20190728,스파이더맨: 파 프롬 홈,4,20196309,2019-07-02,7872661
20190722~20190728,레드슈즈,5,20198323,2019-07-25,209750
20190722~20190728,명탐정 코난: 감청의 권,6,20192725,2019-07-24,167765
20190722~20190728,롱 샷,7,20190002,2019-07-24,142784
20190722~20190728,토이 스토리 4,8,20184047,2019-06-20,3355808
20190722~20190728,기생충,9,20183782,2019-05-30,10041845
20190722~20190728,사자,10,20180442,2019-07-31,16319
20190715~20190721,라이온 킹,1,20175771,2019-07-17,2275556
20190715~20190721,스파이더맨: 파 프롬 홈,2,20196309,2019-07-02,7499030
20190715~20190721,알라딘,3,20183867,2019-05-23,10943500
20190715~20190721,토이 스토리 4,4,20184047,2019-06-20,3288383
20190715~20190721,기생충,5,20183782,2019-05-30,10001320
20190715~20190721,기방도령,6,20185353,2019-07-10,278008
20190715~20190721,진범,7,20185986,2019-07-10,157393
20190715~20190721,사일런스,8,20192222,2019-07-17,43202
20190715~20190721,극장판 엉덩이 탐정: 화려한 사건 수첩,9,20191601,2019-07-11,127100
20190715~20190721,미드소마,10,20192151,2019-07-11,69036
20190708~20190714,스파이더맨: 파 프롬 홈,1,20196309,2019-07-02,6685837
20190708~20190714,알라딘,2,20183867,2019-05-23,10161314
20190708~20190714,토이 스토리 4,3,20184047,2019-06-20,3151325
20190708~20190714,기방도령,4,20185353,2019-07-10,220182
20190708~20190714,기생충,5,20183782,2019-05-30,9921312
20190708~20190714,진범,6,20185986,2019-07-10,106756
20190708~20190714,극장판 엉덩이 탐정: 화려한 사건 수첩,7,20191601,2019-07-11,101245
